run_accession,secondary_study_accession,sample_accession,secondary_sample_accession,experiment_accession,study_accession,submission_accession,tax_id,scientific_name,instrument_platform,instrument_model,library_name,nominal_length,library_layout,library_strategy,library_source,library_selection,read_count,base_count,center_name,first_public,last_updated,experiment_title,study_title,study_alias,experiment_alias,run_alias,fastq_bytes,fastq_md5,fastq_ftp,fastq_aspera,fastq_galaxy,submitted_bytes,submitted_md5,submitted_ftp,submitted_aspera,submitted_galaxy,submitted_format,sra_bytes,sra_md5,sra_ftp,sra_aspera,sra_galaxy,sample_alias,broker_name,sample_title,nominal_sdev,first_created,IDENTIFIERS__PRIMARY_ID,IDENTIFIERS__SECONDARY_ID,IDENTIFIERS__EXTERNAL_ID__namespace,IDENTIFIERS__EXTERNAL_ID__text,IDENTIFIERS__SUBMITTER_ID__namespace,IDENTIFIERS__SUBMITTER_ID__text,SAMPLE_NAME__TAXON_ID,SAMPLE_NAME__SCIENTIFIC_NAME,SAMPLE_NAME__COMMON_NAME,TITLE,DESCRIPTION,strain,INSDC_secondary_accession,NCBI_submission_package,organism,sex,tissue,dev_stage,sample_type,BioSampleModel,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,age
SRR3997916,SRP080894,SAMN05506949,SRS1600064,SRX1998675,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV6_16w,,PAIRED,AMPLICON,GENOMIC,PCR,18527,10877267,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV6_16w,1D10S12_S46_L001_R2_001.fastq.gz,1286292;2340729,bf502bb6c7416a33cd52f33b6e6733b2;2c8951afdff022d6403171747b72114e,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997916/SRR3997916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997916/SRR3997916_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/006/SRR3997916/SRR3997916_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/006/SRR3997916/SRR3997916_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997916/SRR3997916_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997916/SRR3997916_2.fastq.gz,,,,,,,5334778,79407d9eb5d07cea65c5e329c7dab50d,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/006/SRR3997916,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/006/SRR3997916,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/006/SRR3997916,MV6_16w,,1D10S12,,2017-12-01,SAMN05506949,SRS1600064,BioSample,SAMN05506949,SAHMRI,MV6_16w,10090,Mus musculus,house mouse,1D10S12,16w,C57BL/6J,SRS1600064,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,,16w-mouse6,Model organism or animal,2017-09-28,2017-09-28,16wks
SRR3997917,SRP080894,SAMN05506950,SRS1600065,SRX1998676,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV7_16w,,PAIRED,AMPLICON,GENOMIC,PCR,19233,11291330,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV7_16w,1D11S12_S47_L001_R1_001.fastq.gz,1423064;2448697,622294e8eb2785543e5c93832bf9f31e;6a898072c280327e7ac1a6402870b67d,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997917/SRR3997917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997917/SRR3997917_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/007/SRR3997917/SRR3997917_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/007/SRR3997917/SRR3997917_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997917/SRR3997917_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997917/SRR3997917_2.fastq.gz,,,,,,,5577357,e13e47832412d35bef4fd877fad76ffc,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/007/SRR3997917,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/007/SRR3997917,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/007/SRR3997917,MV7_16w,,1D11S12,,2017-12-01,SAMN05506950,SRS1600065,BioSample,SAMN05506950,SAHMRI,MV7_16w,10090,Mus musculus,house mouse,1D11S12,16w,C57BL/6J,SRS1600065,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,,16w-mouse7,Model organism or animal,2017-09-28,2017-09-28,16wks
SRR3997918,SRP080894,SAMN05506951,SRS1600067,SRX1998677,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,MV8_16w,,PAIRED,AMPLICON,GENOMIC,PCR,17084,4978025,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,MV8_16w,1D12S12_S48_L001_R2_001.fastq.gz,1349823,b35b33c891cdf3271c07b8055be9e065,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997918/SRR3997918.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/008/SRR3997918/SRR3997918.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997918/SRR3997918.fastq.gz,,,,,,,2080278,ac1244bd03c34764b536f5a0b04125e8,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/008/SRR3997918,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/008/SRR3997918,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/008/SRR3997918,MV8_16w,,1D12S12,,2017-12-01,SAMN05506951,SRS1600067,BioSample,SAMN05506951,SAHMRI,MV8_16w,10090,Mus musculus,house mouse,1D12S12,16w,C57BL/6J,SRS1600067,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,,16w-mouse8,Model organism or animal,2017-09-28,2017-09-28,16wks
SRR3997921,SRP080894,SAMN05449975,SRS1600069,SRX1998680,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M15,,PAIRED,AMPLICON,GENOMIC,PCR,9532,5671699,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M15,1B5S7_S17_L001_R2_001.fastq.gz,1158785;1802526,d613d991a8070ed42afb770aafb82dd3;193f4e9bda3af27ae9a31bc28e89a028,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997921/SRR3997921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997921/SRR3997921_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/001/SRR3997921/SRR3997921_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/001/SRR3997921/SRR3997921_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997921/SRR3997921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997921/SRR3997921_2.fastq.gz,,,,,,,3621810,d68582af3705247329550a1907e069d8,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/001/SRR3997921,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/001/SRR3997921,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/001/SRR3997921,M15,,1B5S7,,2017-12-01,SAMN05449975,SRS1600069,BioSample,SAMN05449975,SAHMRI,M15,10090,Mus musculus,house mouse,1B5S7,G1,C57BL/6J,SRS1600069,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G1-mouse15,Model organism or animal,2017-09-28,2017-09-28,
SRR3997926,SRP080894,SAMN05449980,SRS1600074,SRX1998685,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M20,,PAIRED,AMPLICON,GENOMIC,PCR,32343,19137035,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M20,2B2S7_S110_L001_R2_001.fastq.gz,3938899;6118194,72b358fa34a920f287521e45a9fa2506;6ff96b2491b568d0904e7e02ce5cd08e,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997926/SRR3997926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997926/SRR3997926_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/006/SRR3997926/SRR3997926_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/006/SRR3997926/SRR3997926_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997926/SRR3997926_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/006/SRR3997926/SRR3997926_2.fastq.gz,,,,,,,12091213,b1e74497d0e39209063e405c8955f448,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/006/SRR3997926,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/006/SRR3997926,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/006/SRR3997926,M20,,2B2S7,,2017-12-01,SAMN05449980,SRS1600074,BioSample,SAMN05449980,SAHMRI,M20,10090,Mus musculus,house mouse,2B2S7,G1,C57BL/6J,SRS1600074,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,Adult,G1-mouse20,Model organism or animal,2017-09-28,2017-09-28,
SRR3997927,SRP080894,SAMN05449963,SRS1600075,SRX1998686,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M3,,PAIRED,AMPLICON,GENOMIC,PCR,12653,7513877,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M3,1A3S7_S3_L001_R1_001.fastq.gz,1447283;2439957,ca41012374229b35bb58a772fdd27865;979b6b53ca47df85ffd4f83a92aa8ba3,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997927/SRR3997927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997927/SRR3997927_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/007/SRR3997927/SRR3997927_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/007/SRR3997927/SRR3997927_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997927/SRR3997927_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997927/SRR3997927_2.fastq.gz,,,,,,,4768877,ad6e5385e673a472b802ea38321e65e1,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/007/SRR3997927,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/007/SRR3997927,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/007/SRR3997927,M3,,1A3S7,,2017-12-01,SAMN05449963,SRS1600075,BioSample,SAMN05449963,SAHMRI,M3,10090,Mus musculus,house mouse,1A3S7,G1,C57BL/6J,SRS1600075,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G1-mouse3,Model organism or animal,2017-09-28,2017-09-28,
SRR3997931,SRP080894,SAMN05449984,SRS1600079,SRX1998690,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M24,,PAIRED,AMPLICON,GENOMIC,PCR,18893,11199840,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M24,2E4S7_S148_L001_R1_001.fastq.gz,2014898;3493958,88fccc196af66f67616c24ad86e46b4c;9102b5f012451b384b356ea7b3e1415e,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997931/SRR3997931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997931/SRR3997931_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/001/SRR3997931/SRR3997931_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/001/SRR3997931/SRR3997931_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997931/SRR3997931_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/001/SRR3997931/SRR3997931_2.fastq.gz,,,,,,,6948229,dbf13b45585bb7ce96d22f354a7b6117,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/001/SRR3997931,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/001/SRR3997931,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/001/SRR3997931,M24,,2E4S7,,2017-12-01,SAMN05449984,SRS1600079,BioSample,SAMN05449984,SAHMRI,M24,10090,Mus musculus,house mouse,2E4S7,G2,C57BL/6J,SRS1600079,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,Adult,G2-mouse2,Model organism or animal,2017-09-28,2017-09-28,
SRR3997967,SRP080894,SAMN05449988,SRS1600092,SRX1998702,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M28,,PAIRED,AMPLICON,GENOMIC,PCR,18095,10696727,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M28,2E8S7_S152_L001_R2_001.fastq.gz,2044108;3434948,4a15fad10b4fae46dd74afd31e022f4c;2dc6d75a0ff07425f12818e172e62ac5,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997967/SRR3997967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997967/SRR3997967_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/007/SRR3997967/SRR3997967_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/007/SRR3997967/SRR3997967_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997967/SRR3997967_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/007/SRR3997967/SRR3997967_2.fastq.gz,,,,,,,6700966,39ed8f32e998a801517644ddac965480,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/007/SRR3997967,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/007/SRR3997967,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/007/SRR3997967,M28,,2E8S7,,2017-12-01,SAMN05449988,SRS1600092,BioSample,SAMN05449988,SAHMRI,M28,10090,Mus musculus,house mouse,2E8S7,G2,C57BL/6J,SRS1600092,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,Adult,G2-mouse6,Model organism or animal,2017-09-28,2017-09-28,
SRR3997968,SRP080894,SAMN05449989,SRS1600091,SRX1998703,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M29,,PAIRED,AMPLICON,GENOMIC,PCR,19150,11341162,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M29,2E9S7_S153_L001_R1_001.fastq.gz,2192806;3695029,931676c7139a5fc27aa9e189909ec5b5;0d1b7330c9817cca2b5eca842bbebfc5,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997968/SRR3997968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997968/SRR3997968_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/008/SRR3997968/SRR3997968_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/008/SRR3997968/SRR3997968_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997968/SRR3997968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/008/SRR3997968/SRR3997968_2.fastq.gz,,,,,,,7174862,1dd463b0ac8daf7e83205da5b840d6ad,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/008/SRR3997968,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/008/SRR3997968,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/008/SRR3997968,M29,,2E9S7,,2017-12-01,SAMN05449989,SRS1600091,BioSample,SAMN05449989,SAHMRI,M29,10090,Mus musculus,house mouse,2E9S7,G2,C57BL/6J,SRS1600091,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G2-mouse7,Model organism or animal,2017-09-28,2017-09-28,
SRR3997969,SRP080894,SAMN05449990,SRS1600093,SRX1998704,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M30,,PAIRED,AMPLICON,GENOMIC,PCR,16682,9885589,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M30,2E10S7_S154_L001_R1_001.fastq.gz,1961044;3211249,955171b8d3f5e0c58345eb7e01352ab4;f9722b0937b31a6f31f284b1b4aa268a,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997969/SRR3997969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997969/SRR3997969_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997969/SRR3997969_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997969/SRR3997969_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997969/SRR3997969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997969/SRR3997969_2.fastq.gz,,,,,,,6241023,63c7d4bfaed57ad073de41a1e7e3c8ed,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997969,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/009/SRR3997969,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997969,M30,,2E10S7,,2017-12-01,SAMN05449990,SRS1600093,BioSample,SAMN05449990,SAHMRI,M30,10090,Mus musculus,house mouse,2E10S7,G2,C57BL/6J,SRS1600093,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G2-mouse8,Model organism or animal,2017-09-28,2017-09-28,
SRR3997974,SRP080894,SAMN05449994,SRS1600098,SRX1998709,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M34,,PAIRED,AMPLICON,GENOMIC,PCR,18170,10802106,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M34,2F5S7_S161_L001_R2_001.fastq.gz,2183691;3381389,610b24e8a15d165e3bc744991d71aea8;ef15d07c0ff244500782aa76565d3ca7,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997974/SRR3997974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997974/SRR3997974_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/004/SRR3997974/SRR3997974_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/004/SRR3997974/SRR3997974_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997974/SRR3997974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/004/SRR3997974/SRR3997974_2.fastq.gz,,,,,,,6814878,527fce5b23ea87acda10167fb8dc161d,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/004/SRR3997974,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/004/SRR3997974,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/004/SRR3997974,M34,,2F5S7,,2017-12-01,SAMN05449994,SRS1600098,BioSample,SAMN05449994,SAHMRI,M34,10090,Mus musculus,house mouse,2F5S7,G2,C57BL/6J,SRS1600098,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,Adult,G2-mouse12,Model organism or animal,2017-09-28,2017-09-28,
SRR3997975,SRP080894,SAMN05449995,SRS1600099,SRX1998710,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M35,,PAIRED,AMPLICON,GENOMIC,PCR,22346,13261751,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M35,2E11S7_S155_L001_R1_001.fastq.gz,2583045;4225500,82d70b3d90b6823e1e1d19a58154d733;0bb68352ff3b5969cc5ff1225b92b392,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997975/SRR3997975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997975/SRR3997975_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/005/SRR3997975/SRR3997975_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/005/SRR3997975/SRR3997975_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997975/SRR3997975_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/005/SRR3997975/SRR3997975_2.fastq.gz,,,,,,,8291853,da7f06cb45ab58ea394757e16d865b38,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/005/SRR3997975,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/005/SRR3997975,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/005/SRR3997975,M35,,2E11S7,,2017-12-01,SAMN05449995,SRS1600099,BioSample,SAMN05449995,SAHMRI,M35,10090,Mus musculus,house mouse,2E11S7,G3,C57BL/6J,SRS1600099,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,Adult,G3-mouse1,Model organism or animal,2017-09-28,2017-09-28,
SRR3997979,SRP080894,SAMN05449999,SRS1600103,SRX1998714,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M39,,PAIRED,AMPLICON,GENOMIC,PCR,22914,13553421,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M39,2F7S7_S163_L001_R2_001.fastq.gz,2697283;4253517,9823767cad297a0ffc2ab4321376d86d;f8ea76fbbfb722a68e6967f9b817363d,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997979/SRR3997979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997979/SRR3997979_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997979/SRR3997979_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/009/SRR3997979/SRR3997979_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997979/SRR3997979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/009/SRR3997979/SRR3997979_2.fastq.gz,,,,,,,8524527,f600d540f4a0b10a5088f9a3fe74f05b,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997979,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/009/SRR3997979,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/009/SRR3997979,M39,,2F7S7,,2017-12-01,SAMN05449999,SRS1600103,BioSample,SAMN05449999,SAHMRI,M39,10090,Mus musculus,house mouse,2F7S7,G3,C57BL/6J,SRS1600103,Model.organism.animal.1.0,Mus musculus,female,Faecal sample,Adult,G3-mouse5,Model organism or animal,2017-09-28,2017-09-28,
SRR3997980,SRP080894,SAMN05450000,SRS1600104,SRX1998715,PRJNA335681,SRA448258,10090,Mus musculus,ILLUMINA,Illumina MiSeq,M40,,PAIRED,AMPLICON,GENOMIC,PCR,21416,12693574,SUB1726421,2017-12-01,2017-12-01,Illumina MiSeq sequencing: 16S_ampliconseq of mus musculus: faecal sample,Faecal microbiota composition across different C57BL/6J inbred mice generations,PRJNA335681,M40,2F8S7_S164_L001_R2_001.fastq.gz,2497470;4036080,dada81cb5ffaa2a88065ccd9378f6d98;f0b3a9bcc582658d425f0ed4710dbe3d,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997980/SRR3997980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997980/SRR3997980_2.fastq.gz,fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/000/SRR3997980/SRR3997980_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR399/000/SRR3997980/SRR3997980_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997980/SRR3997980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR399/000/SRR3997980/SRR3997980_2.fastq.gz,,,,,,,7991376,0e783944e3d12c97a2ee220c4da3ad51,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/000/SRR3997980,fasp.sra.ebi.ac.uk:/vol1/srr/SRR399/000/SRR3997980,ftp.sra.ebi.ac.uk/vol1/srr/SRR399/000/SRR3997980,M40,,2F8S7,,2017-12-01,SAMN05450000,SRS1600104,BioSample,SAMN05450000,SAHMRI,M40,10090,Mus musculus,house mouse,2F8S7,G3,C57BL/6J,SRS1600104,Model.organism.animal.1.0,Mus musculus,male,Faecal sample,Adult,G3-mouse6,Model organism or animal,2017-09-28,2017-09-28,
